Number of actors with last name starting with 'P': 64

Movies released after 2010 with more than 100,000 votes (120):
- Title: Need for Speed, Year: 2014, Votes: 139153
- Title: The Expendables 3, Year: 2014, Votes: 130394
- Title: The Interview, Year: 2014, Votes: 251910
- Title: Spider-Man: Homecoming, Year: 2017, Votes: 473931
- Title: The Equalizer, Year: 2014, Votes: 235859
- Title: Edge of Tomorrow, Year: 2014, Votes: 443643
- Title: X-Men: Apocalypse, Year: 2016, Votes: 210509
- Title: San Andreas, Year: 2015, Votes: 152249
- Title: The Hunger Games: Mockingjay - Part 1, Year: 2014, Votes: 313261



Created 25 new hashes for top movies by genre
